Taille de base;Taille compressé;Gain de taille;Temps de compression 
10;10,5;-0,5;0,0002830769999999927
20;21,38;-1,379999999999999;0,00022071800000000863
30;32,2;-2,200000000000003;0,0003577439999999932
40;43,46;-3,460000000000001;0,0009161030000000014
50;54,14;-4,140000000000001;0,0014543599999999879
60;65,2;-5,200000000000003;0,002570667999999998
70;76,58;-6,579999999999998;0,0037128220000000045
80;86,22;-6,219999999999999;0,005058052999999951
90;97,42;-7,420000000000002;0,009734568000000055
100;107,16;-7,159999999999997;0,010634260999999867
110;117,14;-7,140000000000001;0,01318277400000012
120;127,98;-7,980000000000004;0,018525136000000053
130;137,2;-7,199999999999989;0,017042469000000615
140;148,78;-8,780000000000001;0,023871189000000292
150;159,44;-9,439999999999998;0,029420319999999833
160;168,74;-8,740000000000009;0,036737655999999674
170;178,12;-8,120000000000005;0,03720001499999981
180;188,02;-8,02000000000001;0,04400986399999951
