Taille de base;Taille compressé;Gain de taille;Temps de compression 
500;531,9;-31,899999999999977;0,7061468719999997
550;578,2;-28,200000000000045;0,943049846000001
600;623,0;-23,0;1,0359864610000002
650;670,0;-20,0;1,5509288200000029
700;717,7;-17,700000000000045;1,9636258459999993
750;765,2;-15,200000000000045;2,580969846000002
800;810,4;-10,399999999999977;3,45770092299999
850;846,6;3,3999999999999773;4,029250462000022
900;891,2;8,799999999999955;4,501741947999989
950;934,5;15,5;5,458042255999999
1000;980,4;19,600000000000023;5,7684266669999715
1050;1019,8;30,200000000000045;7,365827693000028
1100;1060,9;39,09999999999991;7,1223433840000325
1150;1099,2;50,799999999999955;8,276411487000018
1200;1141,1;58,90000000000009;8,651314871999944
1250;1181,8;68,20000000000005;9,646324101999994
1300;1227,2;72,79999999999995;10,03223179500003
1350;1266,8;83,20000000000005;12,687543384999913
1400;1303,1;96,90000000000009;14,479727180000054
1450;1341,9;108,09999999999991;14,92822605099991
