Taille de base;Taille compressé;Gain de taille;Temps de compression 
10;10,34;-0,33999999999999986;0,0002535379999999421
20;21,36;-1,3599999999999994;0,00033353900000010483
30;32,44;-2,4399999999999977;0,0005165129999999962
40;43,62;-3,6199999999999974;0,0017604099999999345
50;54,64;-4,640000000000001;0,0020283080000000897
60;65,38;-5,3799999999999955;0,002751589999999915
70;75,92;-5,920000000000002;0,002955898000000179
80;86,58;-6,579999999999998;0,006052513000000204
90;97,34;-7,340000000000003;0,009920000000000151
100;108,0;-8,0;0,01050830799999991
110;117,24;-7,239999999999995;0,013296820999999959
120;127,7;-7,700000000000003;0,02193928199999995
130;139,58;-9,580000000000013;0,024146460999999952
140;149,74;-9,740000000000009;0,018687589999999865
150;160,0;-10,0;0,030204306999999986
160;169,72;-9,719999999999999;0,03843610200000036
170;180,16;-10,159999999999997;0,039944615999999655
180;187,54;-7,539999999999992;0,03977723100000041
190;197,64;-7,639999999999986;0,044843076999999454
200;206,14;-6,139999999999986;0,05513353800000331
210;216,52;-6,52000000000001;0,06512574399999949
220;225,74;-5,740000000000009;0,06955487200000121
230;233,06;-3,0600000000000023;0,07941579500000273
240;242,58;-2,5800000000000125;0,0927597949999992
250;250,36;-0,36000000000001364;0,10422235900000487
260;258,54;1,4599999999999795;0,10522994800000163
270;267,82;2,180000000000007;0,09996143600000096
280;276,54;3,4599999999999795;0,11647835900000558
290;285,46;4,5400000000000205;0,14172840999999892
300;294,4;5,600000000000023;0,1341415380000086
310;302,56;7,439999999999998;0,15767589700000428
320;310,7;9,300000000000011;0,17789128199999027
330;318,5;11,5;0,20498953799999242
340;326,5;13,5;0,19102318000000196
350;334,62;15,379999999999995;0,19658010300000228
360;342,64;17,360000000000014;0,19597374299999615
370;351,26;18,74000000000001;0,21964102499998717
380;359,2;20,80000000000001;0,24561312800000223
390;370,44;19,560000000000002;0,2892065639999828
400;379,98;20,019999999999982;0,28353723099999684
410;386,46;23,54000000000002;0,3059524100000033
420;395,32;24,680000000000007;0,3072352819999935
430;405,38;24,620000000000005;0,323461334000001
440;414,38;25,620000000000005;0,3253386669999827
450;423,24;26,75999999999999;0,3539392819999989
460;430,1;29,899999999999977;0,3891245129999561
470;437,24;32,75999999999999;0,41795405099998106
480;446,62;33,379999999999995;0,39752656399997477
490;453,6;36,39999999999998;0,49374687199997425
